Title,Year,Genre1,Genre2,Genre3
Around the World in 80 Days,1956,Adventure,Comedy,Family
Carousel,1956,Drama,Fantasy,Musical
Forbidden Planet,1956,Adventure,Sci-Fi,
Invasion of the Body Snatchers,1956,Horror,Sci-Fi,
Love Me Tender,1956,Drama,Musical,Romance
Moby Dick,1956,Adventure,Drama,
Seven Wonders of the World,1956,Documentary,History,
The King and I,1956,Biography,Drama,Musical
The Lone Ranger,1956,Drama,Western,
The Man Who Knew Too Much,1956,Drama,Thriller,
The Searchers,1956,Adventure,Drama,Western
The Ten Commandments,1956,Adventure,Drama,Family
Trapeze,1956,Drama,Romance,
12 Angry Men,1957,Crime,Drama,
Gunfight at the OK Corral,1957,Biography,Drama,Western
Jailhouse Rock,1957,Drama,Music,Musical
Old Yeller,1957,Adventure,Drama,Family
Pal Joey,1957,Drama,Musical,Romance
Perri,1957,Adventure,Family,Fantasy
The Bridge on the River Kwai,1957,Adventure,Drama,War
Attack of the 50 Foot Woman,1958,Horror,Sci-Fi,
South Pacific,1958,Musical,Romance,War
The Blob,1958,Horror,Sci-Fi,
The Lone Ranger and the Lost City of Gold,1958,Western,,
Vertigo,1958,Mystery,Romance,Thriller
Ben-Hur,1959,Adventure,Drama,
Imitation of Life,1959,Drama,,
On the Beach,1959,Drama,Romance,Sci-Fi
Operation Petticoat,1959,Comedy,Romance,War
Pillow Talk,1959,Comedy,Romance,
Some Like it Hot,1959,Comedy,Music,Romance
Exodus,1960,Action,Drama,War
G.I. Blues,1960,Comedy,Musical,
Midnight Lace,1960,Crime,Drama,Mystery
Pollyanna,1960,Comedy,Drama,Family
Psycho,1960,Horror,Mystery,Thriller
Spartacus,1960,Adventure,Biography,Drama
The Alamo,1960,Adventure,Drama,History
The Little Shop of Horrors,1960,Comedy,Horror,
Blue Hawaii,1961,Comedy,Musical,
Breakfast at Tiffany’s,1961,Comedy,Drama,Romance
El Cid,1961,Biography,Drama,History
Guns of Navarrone,1961,Action,Adventure,Drama
One Hundred and One Dalmatians,1961,Animation,Adventure,Comedy
The Parent Trap,1961,Adventure,Comedy,Drama
West Side Story,1961,Crime,Drama,Musical
Birdman of Alcatraz,1962,Biography,Crime,Drama
Dr. No,1962,Action,Adventure,Thriller
Gypsy,1962,Biography,Comedy,Drama
Hatari!,1962,Action,Adventure,Comedy
Lawrence of Arabia,1962,Adventure,Biography,Drama
The Longest Day,1962,Action,Drama,History
To Kill a Mockingbird,1962,Crime,Drama,
Beach Party,1963,Comedy,Musical,Romance
Cleopatra,1963,Biography,Drama,History
It's a Mad Mad Mad Mad World,1963,Action,Adventure,Comedy
The Birds,1963,Drama,Horror,Mystery
The Nutty Professor,1963,Comedy,Romance,Sci-Fi
Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,War,
My Fair Lady,1964,Drama,Family,Musical
The Sons of Katie Elder,1965,Drama,Western,
The Sound of Music,1965,Biography,Drama,Family
The Bible,1966,Drama,Family,
The Graduate,1967,Comedy,Drama,Romance
Valley of the Dolls,1967,Drama,Music,Romance
2001: A Space Odyssey,1968,Adventure,Sci-Fi,
Chitty Chitty Bang Bang,1968,Adventure,Family,Fantasy
Planet of the Apes,1968,Adventure,Sci-Fi,
Cactus Flower,1969,Comedy,Romance,
Easy Rider,1969,Adventure,Drama,
Mackenna’s Gold,1969,Action,Adventure,Drama
True Grit,1969,Adventure,Drama,Western
